Object,Neighbor,Distance
1,2,1.0
1,4,1.0
1,6,1.0
2,1,1.0
2,3,1.0
2,4,1.0
2,5,2.0
2,7,1.0
2,8,2.8284271247461903
3,2,1.0
3,5,1.0
4,1,1.0
4,2,1.0
4,6,1.0
4,7,1.0
5,2,2.0
5,3,1.0
5,8,1.0
5,9,1.0
6,1,1.0
6,4,1.0
6,7,1.0
7,2,1.0
7,4,1.0
7,6,1.0
7,8,1.0
7,10,1.0
8,2,2.8284271247461903
8,5,1.0
8,7,1.0
8,9,1.0
8,10,1.0
8,11,1.0
8,12,1.4142135623730951
9,5,1.0
9,8,1.0
9,11,1.4142135623730951
9,12,1.0
10,7,1.0
10,8,1.0
10,11,1.0
11,8,1.0
11,9,1.4142135623730951
11,10,1.0
11,12,1.0
12,8,1.4142135623730951
12,9,1.0
12,11,1.0
