Object,Neighbor,Distance
1,2,1.0
1,3,1.0
1,5,1.0
1,6,1.4142135623730951
2,1,1.0
2,3,1.0
3,1,1.0
3,2,1.0
3,5,1.0
3,11,1.0
4,6,1.0
4,7,1.0
4,8,3.605551275463989
4,9,1.0
4,10,1.0
5,1,1.0
5,3,1.0
5,6,1.0
5,11,1.0
5,13,3.605551275463989
6,1,1.4142135623730951
6,4,1.0
6,5,1.0
6,7,1.0
6,8,1.0
6,11,4.0
6,12,1.0
6,13,1.0
7,4,1.0
7,6,1.0
7,8,1.0
7,9,1.0
8,4,3.605551275463989
8,6,1.0
8,7,1.0
8,9,1.0
8,12,1.0
8,14,4.0
8,15,1.0
8,16,1.0
8,18,2.0
8,19,3.0
9,4,1.0
9,7,1.0
9,8,1.0
9,10,1.0
9,14,1.0
9,15,1.0
10,4,1.0
10,9,1.0
10,14,1.0
10,17,1.0
11,3,1.0
11,5,1.0
11,6,4.0
11,13,1.0
12,6,1.0
12,8,1.0
12,13,1.0
12,16,1.0
13,5,3.605551275463989
13,6,1.0
13,11,1.0
13,12,1.0
13,16,1.0
14,9,1.0
14,10,1.0
14,15,1.0
14,17,1.0
14,18,3.605551275463989
15,8,1.0
15,9,1.0
15,14,1.0
15,16,1.0
15,17,1.0
15,18,1.0
15,19,2.23606797749979
16,8,1.0
16,12,1.0
16,13,1.0
16,15,1.0
16,18,1.0
16,19,1.0
17,10,1.0
17,14,1.0
17,15,1.0
17,18,1.0
17,21,1.0
18,8,2.0
18,14,3.605551275463989
18,15,1.0
18,16,1.0
18,17,1.0
18,19,1.0
18,20,1.0
18,21,1.0
18,22,1.0
19,8,3.0
19,15,2.23606797749979
19,16,1.0
19,18,1.0
19,20,1.0
20,18,1.0
20,19,1.0
20,22,1.0
21,17,1.0
21,18,1.0
21,22,1.0
22,18,1.0
22,20,1.0
22,21,1.0
23,24,1.0
24,23,1.0
