Image,Object,Ag107,Cytokeratin 5,Laminin,YBX1,H3K27Ac,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,eccentricity
20210305_NE_mockData1_1.tiff,1,0.0654535807096041,0.0461538461538461,0.0769230769230769,0.0969650745391845,0.7501489602602445,65,4.523076923076923,34.01538461538462,13.001221954602691,7.025376857852489,0.8414321310455248
20210305_NE_mockData1_1.tiff,2,0.0843829925482471,0.0581862640877564,0.0042392027874787,0.0552367692192395,0.6582037334640821,96,7.229166666666667,27.697916666666668,14.825415705000772,10.347626231090922,0.7161315464970319
20210305_NE_mockData1_1.tiff,3,0.1242216260482867,0.0982229883472124,0.0384514760226011,0.0429215508823593,0.7953856304908792,192,19.135416666666668,37.6875,17.39292062282302,14.909630313896672,0.5149435727593397
20210305_NE_mockData1_1.tiff,4,0.1273435679804377,0.0436156659567055,0.0494151287719983,0.0538807945091183,0.4885019304872561,595,24.44873949579832,17.01344537815126,47.44364419632656,20.118478314331124,0.905638768909189
20210305_NE_mockData1_1.tiff,5,0.2106841034359402,0.0222222222222222,0.0604837444093492,0.0303617265489366,0.7641167667176988,45,28.866666666666667,36.24444444444445,9.091644449113428,6.283254344805908,0.7227571665502445
20210305_NE_mockData1_1.tiff,6,0.1980945616960525,0.0876894816756248,0.03125,0.0099293431267142,0.773997588083148,64,30.53125,51.640625,12.525994442666695,6.728107607067761,0.8434984467442754
20210305_NE_mockData1_1.tiff,7,0.1186447850580494,0.0625951579425125,0.0308898881888289,0.0595153674919734,0.594995590433416,239,36.94142259414226,43.66945606694561,21.38999083945227,17.3290808003434,0.58622394490797
20210305_NE_mockData1_1.tiff,8,0.2909258054883292,0.079393287722984,0.0643289986621128,0.0112359550561797,0.5037659781702449,89,46.52808988764045,53.24719101123596,13.10002456503396,9.134769904631176,0.716770283638874
20210305_NE_mockData1_2.tiff,1,13.207235176033445,14.885831658707724,0.8050788482030232,7.165068136321174,2.5474712434742184,180,6.361111111111111,14.205555555555556,18.470450031922027,12.743277349001712,0.7238781675065956
20210305_NE_mockData1_2.tiff,2,16.297462437789477,8.230757537936665,0.8875840473237462,3.371872373900489,1.3351036871915087,191,5.675392670157068,56.27225130890052,21.043601180655628,14.016882988743976,0.7458734706625134
20210305_NE_mockData1_2.tiff,3,20.39741694242105,17.052689667405755,0.6583767704580022,4.783030694928662,3.224067460531476,87,11.494252873563218,26.17241379310345,14.871409927947424,7.642708357526635,0.8578383833893857
20210305_NE_mockData1_2.tiff,4,14.87367583272305,0.3035827938546526,0.3827512365706423,3.140782948504103,1.9394026011862653,188,13.76063829787234,38.29255319148936,20.14354902694891,13.14866915329968,0.7575747765960211
20210305_NE_mockData1_2.tiff,5,13.668032753936068,26.293815677928613,2.22257032352764,4.854137085410705,2.755699742569153,229,18.91703056768559,11.558951965065502,18.96163054783513,17.77474258083928,0.3482389316061158
20210305_NE_mockData1_2.tiff,6,11.991887595042709,3.7350179617069967,1.4230037838959495,2.861593961223098,2.0478972605437287,242,19.776859504132236,51.21487603305785,20.693783540322627,15.57229499298446,0.6585799424036017
20210305_NE_mockData1_2.tiff,7,15.564855350766862,12.033891393173308,0.8484711221286229,7.114129689761571,5.16589221840813,105,19.476190476190474,27.51428571428572,12.95033518821011,11.244906023774885,0.4960218543593225
20210305_NE_mockData1_2.tiff,8,5.692042895820406,4.994533822602696,0.4110084447595808,2.216913034849697,1.8455353796482088,180,29.65,19.316666666666663,17.222567268867845,15.846375645988156,0.3916983313530082
20210305_NE_mockData1_2.tiff,9,8.371096182872753,1.3467620440048746,0.4519272584578778,4.698070188560108,2.944068703320947,202,30.38118811881188,33.554455445544555,18.893114836312208,13.859431299170046,0.6796133845250242
20210305_NE_mockData1_2.tiff,10,15.134895372390748,8.49382486794446,0.4330947463576858,2.1303224157642675,3.5438710695988425,185,32.29189189189189,53.962162162162166,16.79176119678743,14.337319929532876,0.5205509260933523
20210305_NE_mockData1_2.tiff,11,9.590574450565107,8.955933384371527,0.5037986554882743,4.64884730721965,2.624862149809346,132,36.90909090909091,43.371212121212125,17.392169220124842,10.434194414883986,0.80004773809775
20210305_NE_mockData1_2.tiff,12,7.907089595942153,10.921235635108555,0.4671128687170363,2.863047253225268,2.0723576625597846,194,43.18041237113402,32.01030927835052,22.996753575364608,11.234521591144045,0.8725491054423501
20210305_NE_mockData1_3.tiff,1,18.195417743462784,14.432564564131118,33.47689668162838,2.788301876613072,6.5939618191876255,91,1.868131868131868,9.527472527472527,21.07250314012191,5.803558074839965,0.9613271321856228
20210305_NE_mockData1_3.tiff,2,8.559517462407388,8.995540410280228,22.41096197212896,1.954657154217843,6.2283372484868575,124,7.056451612903226,21.983870967741936,17.432834143141537,10.736244655597051,0.7878529444277261
20210305_NE_mockData1_3.tiff,3,3.783179805530765,2.7786065117130434,38.09233406694924,0.8369963023720718,4.513518368810173,123,5.479674796747967,30.92682926829268,14.292288973422144,11.44356919641221,0.5990904602031376
20210305_NE_mockData1_3.tiff,4,22.640892161536463,30.16221720164584,5.588706365565664,10.819726296614126,5.772861992575459,97,9.288659793814434,12.742268041237113,16.274498246945438,8.007880261530826,0.8705664749288384
20210305_NE_mockData1_3.tiff,5,11.671511067284476,33.11229227468221,1.5366061986094774,7.653185123144978,4.821242691892566,198,15.55050505050505,37.80303030303031,18.152291167517973,15.1242140665995,0.5529945741378784
