Object,Ag107,Cytokeratin 5,Laminin,YBX1,H3K27Ac
1,0.3464865419599745,0.05193330080081255,13.586448840605907,3.8555431090868435,4.857150751301366
2,0.5549966736116271,0.17048939760180487,6.482714970906575,4.403172691663106,13.918596459471662
3,0.33795682498386925,0.08569972753524781,10.452001073701041,5.046990346227373,10.146995765141078
4,0.22052787488965847,0.029850746268656716,0.6512337175767813,4.336809051570608,19.228216971924056
5,0.26691457549376146,0.10123500334365028,28.859526144606725,3.99944112769195,12.951925887327109
6,0.3284665468411568,0.08101743714422242,3.035724920085353,5.576042569600618,11.35152004009638
7,0.2954928918582637,0.061251269608009154,0.7490635427033029,5.795728788143251,22.601734510282192
8,0.2575319377151695,0.0707274598044318,59.20349061231355,4.874418317949449,14.945427303056459
9,0.28814315512066796,0.047619047619047616,14.255687659695035,6.651225537061691,24.68323048523494
10,0.18818323016166688,0.07887555824385749,17.091159529156155,4.713573186927372,32.441720090972055
11,0.22563833849770681,0.02040816326530612,9.83614336308979,3.9890935725095322,10.479312699668261
12,0.10847255570149561,0.04948697313230637,79.66358819481923,2.8541427007195543,8.276417056370898
13,0.15035465146814073,0.03571428571428571,58.97259540217264,5.672725094216211,8.68953740809645
14,0.05812645649564439,0.08287768433059471,38.78593391611956,3.3169020068818242,8.94874626311703
