Object1,Object2
1,2
1,3
1,4
1,5
1,6
2,1
2,3
2,4
3,1
3,2
3,4
3,7
4,1
4,2
4,3
4,5
4,6
4,7
4,8
4,9
4,10
4,12
5,1
5,4
5,6
5,9
6,1
6,4
6,5
6,8
6,9
6,10
6,12
7,3
7,4
7,10
7,13
8,4
8,6
8,9
8,10
8,12
8,13
9,4
9,5
9,6
9,8
9,11
9,12
9,14
9,16
10,4
10,6
10,7
10,8
10,12
10,13
11,9
11,12
11,14
11,15
12,4
12,6
12,8
12,9
12,10
12,11
12,13
12,14
12,15
12,17
12,18
12,19
13,7
13,8
13,10
13,12
13,17
14,9
14,11
14,12
14,15
14,16
14,18
15,11
15,12
15,14
15,16
15,18
15,19
16,9
16,14
16,15
16,18
16,20
17,12
17,13
17,19
18,12
18,14
18,15
18,16
18,19
18,20
19,12
19,15
19,17
19,18
20,16
20,18
21,22
22,21
