Object1,Object2
1,2
1,3
1,4
1,7
1,8
1,10
2,1
2,3
2,5
2,7
2,8
3,1
3,2
3,4
3,6
3,7
3,8
3,10
4,1
4,3
4,10
4,11
4,13
5,2
5,7
5,9
5,12
6,3
6,7
6,8
6,10
7,1
7,2
7,3
7,5
7,6
7,8
7,9
7,12
8,1
8,2
8,3
8,6
8,7
9,5
9,7
9,12
10,1
10,3
10,4
10,6
10,11
10,13
10,15
10,17
11,4
11,10
11,13
11,15
11,20
12,5
12,7
12,9
12,14
12,16
12,19
13,4
13,10
13,11
13,15
13,17
14,12
14,16
14,19
14,25
15,10
15,11
15,13
15,17
15,20
15,21
15,22
15,26
16,12
16,14
16,18
16,19
16,24
16,25
17,10
17,13
17,15
17,18
17,20
17,21
17,23
17,24
18,16
18,17
18,23
18,24
18,25
19,12
19,14
19,16
19,25
20,11
20,15
20,17
20,21
20,22
20,26
20,27
21,15
21,17
21,20
21,23
21,26
22,15
22,20
22,27
22,28
22,30
23,17
23,18
23,21
23,24
23,26
23,31
24,16
24,17
24,18
24,23
24,25
24,29
25,14
25,16
25,18
25,19
25,24
25,29
26,15
26,20
26,21
26,23
26,27
26,31
27,20
27,22
27,26
27,28
27,31
27,32
27,36
27,38
28,22
28,27
28,30
28,31
28,32
28,38
29,24
29,25
30,22
30,28
30,32
30,35
31,23
31,26
31,27
31,28
31,32
31,33
31,36
31,38
31,39
32,27
32,28
32,30
32,31
32,34
32,35
32,36
32,37
32,38
33,31
33,36
33,38
33,39
33,40
34,32
34,35
34,37
34,38
35,30
35,32
35,34
35,37
36,27
36,31
36,32
36,33
36,38
36,39
36,40
37,32
37,34
37,35
37,38
37,41
38,27
38,28
38,31
38,32
38,33
38,34
38,36
38,37
38,40
38,41
38,42
39,31
39,33
39,36
39,40
40,33
40,36
40,38
40,39
40,41
40,42
41,37
41,38
41,40
41,42
42,38
42,40
42,41
