Object1,Object2
1,2
1,4
1,7
2,1
2,3
2,4
2,6
2,7
3,2
3,5
3,6
3,7
4,1
4,2
4,7
4,9
5,3
5,6
5,8
5,10
6,2
6,3
6,5
6,7
6,10
6,17
7,1
7,2
7,3
7,4
7,6
7,9
7,10
7,15
8,5
8,11
8,18
8,19
9,4
9,7
9,10
9,12
9,13
9,14
9,15
10,5
10,6
10,7
10,9
10,15
10,17
11,8
11,18
11,19
12,9
12,13
12,14
12,16
13,9
13,12
13,14
13,16
14,9
14,12
14,13
14,15
14,16
14,17
14,20
15,7
15,9
15,10
15,14
15,16
15,17
15,20
16,12
16,13
16,14
16,15
16,17
16,20
17,6
17,10
17,14
17,15
17,16
17,18
17,20
17,21
18,8
18,11
18,17
18,19
18,20
18,21
18,22
18,23
19,8
19,11
19,18
19,22
19,23
20,14
20,15
20,16
20,17
20,18
20,21
21,17
21,18
21,20
21,22
21,23
22,18
22,19
22,21
22,23
23,18
23,19
23,21
23,22
