Image,Object,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,eccentricity
20210305_NE_mockData1_1.tiff,1,19,4.2105263157894735,14.736842105263158,7.04688004885771,3.656010438296589,0.8548879722562877
20210305_NE_mockData1_1.tiff,2,71,3.8732394366197194,32.57746478873239,11.741731486310613,8.07559637915011,0.7259298179602637
20210305_NE_mockData1_1.tiff,3,16,5.125,7.8125,6.016463371806579,3.4626100698331315,0.8177859417099856
20210305_NE_mockData1_1.tiff,4,16,6.9375,22.6875,5.326818938165629,3.7416573867739418,0.7117639563193815
20210305_NE_mockData1_1.tiff,5,43,7.767441860465116,27.0,8.356574765200262,7.268920779753043,0.4933259653155538
20210305_NE_mockData1_1.tiff,6,37,9.216216216216216,7.45945945945946,11.20596220405497,5.385487408891418,0.8769447235779225
20210305_NE_mockData1_1.tiff,7,26,10.73076923076923,36.0,7.321711404937237,4.961591899160783,0.7353802779417754
20210305_NE_mockData1_1.tiff,8,12,12.166666666666666,14.583333333333334,4.270320962938327,3.813415352576645,0.450047958901315
20210305_NE_mockData1_1.tiff,9,14,12.5,40.71428571428572,4.20883424647321,4.120630029101703,0.2036532699906393
20210305_NE_mockData1_1.tiff,10,21,13.333333333333334,10.095238095238097,6.473388749701497,4.575395104557834,0.7074128217900072
20210305_NE_mockData1_1.tiff,11,24,15.791666666666666,34.208333333333336,6.429100507328636,5.158595846847387,0.5968105190920522
20210305_NE_mockData1_1.tiff,12,42,17.833333333333332,16.214285714285715,12.943632108947478,5.349446965767747,0.9106003975711432
20210305_NE_mockData1_1.tiff,13,58,18.55172413793104,39.37931034482759,9.718995273954931,8.429612816977542,0.4977269637589539
20210305_NE_mockData1_1.tiff,14,45,21.177777777777777,13.977777777777778,13.307715852484526,4.970133766180705,0.927639198700368
20210305_NE_mockData1_1.tiff,15,14,20.071428571428573,20.5,5.017655482782427,3.7643156392116826,0.6611950391450279
20210305_NE_mockData1_1.tiff,16,27,22.51851851851852,34.22222222222222,7.392337967915355,4.694593744335976,0.772461078001199
