Object,Ag107,Cytokeratin 5,Laminin,YBX1,H3K27Ac
1,0.1714364236051386,0.04661989482966336,73.17044953866439,9.81380917267366,6.264037392356179
2,0.17231983351475985,0.07846791535905263,78.98415698819947,6.895587051956399,13.86844516379162
3,0.04906472516438318,0.0891686375178988,34.09511566918994,4.335311089243207,12.845235156634498
4,0.38455536524454753,0.04466546376546224,46.701134413083395,7.829015752474467,11.840408038099607
5,0.03333333333333333,0.18622347513834636,26.112419605255127,0.839434003829956,4.71673442920049
6,0.05555555555555555,0.07729966110653347,43.65797445509169,4.554947468969557,5.127542482482062
7,0.4007906553357147,0.023255813953488372,39.5216624459555,10.06268632134726,10.203077127767164
8,0.11948987108762146,0.05745096675685195,38.696855388703895,6.664829344045921,14.432744897779871
9,0.20763853371861468,0.07476026178842568,38.260923629783726,3.1056341866412795,12.902689533061292
10,0.25,0.08333333333333333,19.676395277182262,3.68081326285998,10.425509969393412
11,0.3557458811480066,0.06543024208234705,55.748716390651204,9.20504915714264,7.284766440806181
12,0.2562920485224043,0.1,31.296367643560682,6.130241542203086,13.470626326969692
13,0.3693365454673767,0.029411764705882353,8.881039829815135,4.201729760450475,11.714111002052531
14,0.3328509447051258,0.024390243902439025,1.568195030456636,6.723663126550069,20.20324913466849
15,0.14812833070755005,0.047619047619047616,1.281337320804596,4.61622847261883,8.70008735287757
16,0.6162857611974081,0.06397058377190241,80.83249326736208,7.039622263302879,8.975104557143318
17,0.05946848352076644,0.1605562052484286,29.247490228232692,4.943999953189139,11.441693261518317
18,0.09903211394945781,0.10452274564239714,4.930059873395496,5.391026187274191,26.82143460876412
19,0.23042184776730007,0.07729966110653347,17.440841886732315,6.599604851669735,19.07312552134196
20,0.14519989490509033,0.1186283997126988,2.0326012827101207,6.868182765112983,21.824830806444563
21,0.10720517447120265,0.19423235717572665,1.3508384133640088,9.923719217902736,4.702799979009126
22,0.41908946136633557,0.08333333333333333,22.243659615516663,4.820851882298787,21.153762976328533
23,0.8011853729977327,0.04183275909984813,87.27596667233635,9.494875115506789,11.346345165196587
24,0.14555810928344726,0.06,0.7347089338302613,6.914175426959991,14.814373626708985
25,0.16303536997121923,0.014705882352941176,15.802898417500888,8.751670875970055,14.231539720998091
26,0.08,0.04,0.8999105310440063,5.557310714721679,4.639729890823364
27,0.47588236655219124,0.052240597999702064,34.696454025931274,10.154365525407306,13.755302837339498
28,0.47974629171432986,0.016129032258064516,9.197531961625621,6.977418186203126,25.64173992987602
29,0.08091361903482014,0.07387485934628381,20.91643068856663,7.458797030978733,10.39192313949267
30,0.3572317361831665,0.0,50.092703925238716,8.97731128666136,4.290028625064426
31,0.21611782908439636,0.0,11.63771320382754,7.811355213324229,15.515924702088038
32,0.2731093475312898,0.1343179236758839,14.461143907272454,11.662453764315808,19.74759456063762
33,0.0484419550214495,0.03571428571428571,48.2999975340707,4.089467780930655,11.7934296642031
34,0.05298338830471039,0.0,58.43725474675497,2.689544195930163,8.027366856733957
