Object1,Object2
1,3
1,6
1,8
2,5
2,7
2,11
3,1
3,6
3,10
4,5
5,2
5,4
5,7
6,1
6,3
6,8
6,10
6,12
7,2
7,5
7,9
7,11
7,13
8,1
8,6
8,10
8,12
8,14
9,7
9,11
9,13
10,3
10,6
10,8
10,12
10,14
11,2
11,7
11,9
11,13
11,16
12,6
12,8
12,10
12,14
12,15
12,18
12,19
12,22
13,7
13,9
13,11
13,16
13,17
13,21
14,8
14,10
14,12
14,15
14,18
14,19
14,22
15,12
15,14
15,19
15,22
16,11
16,13
16,17
16,19
16,21
17,13
17,16
17,20
17,21
17,24
17,25
18,12
18,14
18,22
19,12
19,14
19,15
19,16
19,21
19,22
19,23
20,17
20,24
20,25
20,26
21,13
21,16
21,17
21,19
21,25
22,12
22,14
22,15
22,18
22,19
22,23
22,27
22,28
23,19
23,22
23,27
23,28
24,17
24,20
24,25
24,26
24,29
25,17
25,20
25,21
25,24
25,26
25,29
26,20
26,24
26,25
26,29
27,22
27,23
27,28
28,22
28,23
28,27
29,24
29,25
29,26
29,30
30,29
