Object1,Object2
1,2
1,3
1,4
2,1
2,4
2,5
2,6
2,7
3,1
3,4
3,9
3,18
4,1
4,2
4,3
4,6
4,9
5,2
5,6
5,7
5,8
5,10
5,11
5,13
6,2
6,4
6,5
6,7
6,9
6,13
7,2
7,5
7,6
7,10
7,11
7,13
8,5
8,10
8,11
8,14
8,16
9,3
9,4
9,6
9,12
9,13
9,15
9,18
10,5
10,7
10,8
10,11
10,13
11,5
11,7
11,8
11,10
11,13
11,14
11,16
12,9
12,13
12,15
12,18
13,5
13,6
13,7
13,9
13,10
13,11
13,12
13,14
13,15
13,17
13,19
14,8
14,11
14,13
14,16
14,19
14,20
15,9
15,12
15,13
15,17
15,18
15,21
15,22
16,8
16,11
16,14
16,20
17,13
17,15
17,19
17,21
17,22
18,3
18,9
18,12
18,15
18,21
19,13
19,14
19,17
19,20
19,22
20,14
20,16
20,19
20,22
21,15
21,17
21,18
21,22
22,15
22,17
22,19
22,20
22,21
