Object1,Object2
1,2
1,4
1,5
2,1
2,3
2,5
2,7
3,2
3,6
3,7
3,8
3,9
4,1
4,5
4,10
5,1
5,2
5,4
5,7
5,10
5,11
6,3
6,7
6,8
6,12
7,2
7,3
7,5
7,6
7,8
7,11
7,12
7,13
7,15
7,16
8,3
8,6
8,7
8,9
8,12
8,13
8,15
9,3
9,8
9,13
10,4
10,5
10,11
10,14
11,5
11,7
11,10
11,12
11,14
11,16
11,20
12,6
12,7
12,8
12,11
12,13
12,15
12,16
12,17
13,7
13,8
13,9
13,12
13,15
14,10
14,11
14,16
14,20
14,23
15,7
15,8
15,12
15,13
15,16
15,17
15,18
16,7
16,11
16,12
16,14
16,15
16,17
16,19
16,20
16,21
17,12
17,15
17,16
17,18
17,19
17,25
17,27
18,15
18,17
18,27
19,16
19,17
19,20
19,21
19,25
19,27
20,11
20,14
20,16
20,19
20,21
20,23
20,28
21,16
21,19
21,20
21,25
21,28
22,23
22,24
22,26
23,14
23,20
23,22
23,26
23,28
23,29
24,22
24,26
24,30
25,17
25,19
25,21
25,27
25,28
26,22
26,23
26,24
26,28
26,29
26,30
27,17
27,18
27,19
27,25
28,20
28,21
28,23
28,25
28,26
28,29
29,23
29,26
29,28
29,30
30,24
30,26
30,29
