Object1,Object2
1,2
1,4
1,5
2,1
2,3
2,4
2,6
3,2
3,6
3,7
4,1
4,2
4,5
4,6
4,8
5,1
5,4
5,8
6,2
6,3
6,4
6,7
6,9
6,11
6,12
7,3
7,6
7,9
7,13
8,4
8,5
8,10
8,12
8,16
9,6
9,7
9,11
9,13
9,17
9,18
10,8
10,16
11,6
11,9
11,12
11,13
11,14
11,15
11,17
11,18
12,6
12,8
12,11
12,14
12,15
12,16
13,7
13,9
13,11
13,17
13,18
13,19
13,21
14,11
14,12
14,15
14,17
14,22
15,11
15,12
15,14
15,16
15,20
15,22
16,8
16,10
16,12
16,15
16,20
17,9
17,11
17,13
17,14
17,18
17,22
18,9
18,11
18,13
18,17
18,19
18,22
18,23
18,24
18,25
18,28
19,13
19,18
19,21
19,23
20,15
20,16
21,13
21,19
21,23
21,26
22,14
22,15
22,17
22,18
22,24
22,25
22,27
23,18
23,19
23,21
23,24
23,25
23,26
23,28
24,18
24,22
24,23
24,25
24,27
24,28
24,30
25,18
25,22
25,23
25,24
25,27
25,28
25,30
26,21
26,23
26,28
26,29
27,22
27,24
27,25
27,30
28,18
28,23
28,24
28,25
28,26
28,29
28,30
29,26
29,28
29,30
30,24
30,25
30,27
30,28
30,29
