Object1,Object2
1,2
1,3
1,5
1,6
2,1
2,3
3,1
3,2
3,6
3,11
4,5
4,7
4,8
4,9
4,10
5,1
5,4
5,6
5,8
5,9
5,11
5,13
5,14
6,1
6,3
6,5
6,11
6,14
7,4
7,8
7,10
7,12
7,15
8,4
8,5
8,7
8,9
8,10
9,4
9,5
9,8
9,10
9,13
9,15
9,16
9,17
9,19
10,4
10,7
10,8
10,9
10,12
10,15
10,16
11,3
11,5
11,6
11,13
11,14
12,7
12,10
12,15
12,18
13,5
13,9
13,11
13,14
13,17
14,5
14,6
14,11
14,13
14,17
15,7
15,9
15,10
15,12
15,16
15,18
15,19
16,9
16,10
16,15
16,17
16,18
16,19
16,22
17,9
17,13
17,14
17,16
17,19
17,20
17,21
18,12
18,15
18,16
18,19
18,22
19,9
19,15
19,16
19,17
19,18
19,20
19,21
19,22
20,17
20,19
20,21
21,17
21,19
21,20
21,22
22,16
22,18
22,19
22,21
23,24
24,23
