Object,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,eccentricity
1,201,5.422885572139304,44.45771144278607,22.268183846731645,13.171817117190187,0.806298858304184
2,41,8.146341463414634,12.121951219512194,7.990926342553308,6.782589018689981,0.5287360128609883
3,117,15.247863247863247,18.085470085470085,14.439305662822248,10.909719308421673,0.6550828435169005
4,174,18.43103448275862,7.505747126436781,16.1328302121672,14.916626150223733,0.3809076210439921
5,181,17.165745856353592,30.740331491712706,21.21348081602704,13.011053779634889,0.78981981997205
6,56,17.196428571428573,48.517857142857146,9.30808320292207,7.84820240341895,0.5376629064706351
7,203,19.901477832512317,39.635467980295566,26.36230231421116,11.030132795109601,0.9082603268051799
8,215,28.976744186046513,23.427906976744186,19.51615472280268,14.780092992245464,0.6530369097514562
9,189,31.126984126984127,47.84126984126984,22.090656418374515,12.513610691773318,0.8240849585289731
10,196,30.760204081632654,6.709183673469388,17.467816689584645,15.14117636881889,0.49864870273338346
11,311,44.154340836012864,17.893890675241156,21.240490734810066,19.164138166237453,0.43122265040447194
12,333,42.03903903903904,38.63663663663664,26.240225851728578,17.18311908559561,0.7557685441021731
