Start_push	End_push	Pushes_duration	X	Y	Z	107Ag(Ag107Di)	Cytoker_651((3356))Pr141(Pr141Di)	Laminin_681((851))Sm147(Sm147Di)	YBX1_2987((3532))Eu153(Eu153Di)	H3K27Ac_1977((2242))Yb172(Yb172Di)
1708	2091	384	0	0	0	0.000	0.000	0.000	0.000	0.000
2093	2476	384	1	0	1	0.000	0.000	0.000	0.000	0.000
2478	2861	384	2	0	2	0.000	0.000	0.000	0.000	0.000
2864	3247	384	3	0	3	0.000	0.000	0.000	0.000	0.000
3249	3632	384	4	0	4	0.000	0.000	0.000	0.000	0.000
3634	4017	384	5	0	5	0.000	0.000	0.000	0.000	0.000
4020	4403	384	6	0	6	0.000	0.000	0.000	0.000	0.000
4405	4788	384	7	0	7	0.000	0.000	0.000	0.000	0.000
4790	5173	384	8	0	8	0.000	0.000	0.000	0.000	0.000
5176	5559	384	9	0	9	0.000	0.000	2.000	0.000	0.000
5561	5944	384	10	0	10	0.000	0.000	13.443	0.000	1.000
5946	6329	384	11	0	11	0.000	0.000	19.290	0.000	1.424
6332	6715	384	12	0	12	0.000	0.000	17.177	0.000	2.483
6717	7100	384	13	0	13	0.000	0.000	14.871	0.000	0.000
7102	7485	384	14	0	14	0.000	0.000	22.468	0.000	0.000
7488	7871	384	15	0	15	0.000	0.000	51.386	5.175	1.000
7873	8256	384	16	0	16	0.000	0.000	79.107	1.000	2.000
8258	8641	384	17	0	17	0.000	0.000	152.405	0.000	1.000
8644	9027	384	18	0	18	0.000	0.000	177.675	3.455	4.000
9029	9412	384	19	0	19	0.000	0.000	170.349	0.000	7.403
9414	9797	384	20	0	20	0.000	0.000	247.007	1.000	6.112
9800	10183	384	21	0	21	0.000	0.000	179.911	2.929	2.490
10185	10568	384	22	0	22	0.000	0.000	152.339	0.000	1.126
10570	10953	384	23	0	23	0.000	0.000	83.674	0.000	0.000
10956	11339	384	24	0	24	0.000	0.000	39.311	0.000	0.000
11341	11724	384	25	0	25	0.000	0.000	9.680	0.000	0.000
11726	12109	384	26	0	26	0.000	0.000	0.717	0.000	0.000
12111	12494	384	27	0	27	0.000	0.000	1.000	0.000	0.000
12497	12880	384	28	0	28	0.000	0.000	0.000	0.000	0.000
12882	13265	384	29	0	29	0.000	0.000	0.000	0.000	0.000
13267	13650	384	30	0	30	0.000	0.000	0.000	0.000	2.059
13653	14036	384	31	0	31	0.000	0.000	0.000	0.000	0.000
14038	14421	384	32	0	32	0.000	0.000	0.000	0.000	0.000
14423	14806	384	33	0	33	0.000	0.000	0.000	0.000	0.000
14809	15192	384	34	0	34	0.000	0.000	0.000	0.000	0.000
29985	30368	384	0	1	35	0.000	0.000	0.000	0.000	0.000
30370	30753	384	1	1	36	0.000	0.000	0.000	0.000	0.000
30755	31138	384	2	1	37	0.000	1.000	0.000	0.000	0.000
31141	31524	384	3	1	38	0.000	0.000	0.000	0.000	0.000
31526	31909	384	4	1	39	0.000	0.000	0.000	0.000	0.000
31911	32294	384	5	1	40	0.000	0.000	0.000	0.000	0.000
32297	32680	384	6	1	41	0.000	0.000	0.000	0.000	0.000
32682	33065	384	7	1	42	0.000	0.000	34.591	0.000	0.000
33067	33450	384	8	1	43	0.000	0.000	27.208	0.000	3.212
33453	33836	384	9	1	44	0.000	0.000	37.152	0.000	4.079
33838	34221	384	10	1	45	0.000	0.000	48.169	3.720	0.000
34223	34606	384	11	1	46	1.234	0.000	59.293	1.265	6.079
34609	34992	384	12	1	47	0.000	0.000	107.576	2.000	3.192
34994	35377	384	13	1	48	0.000	0.000	108.744	0.000	0.000
35379	35762	384	14	1	49	1.000	0.000	73.806	1.000	3.112
35764	36147	384	15	1	50	1.000	0.000	68.036	3.012	3.808
36150	36533	384	16	1	51	0.000	0.000	64.364	4.234	7.033
36535	36918	384	17	1	52	2.000	0.000	54.097	3.891	3.880
36920	37303	384	18	1	53	0.000	0.000	46.554	3.613	8.841
37306	37689	384	19	1	54	0.000	0.000	51.676	1.000	15.210
37691	38074	384	20	1	55	0.000	0.000	103.871	2.012	11.212
38076	38459	384	21	1	56	0.000	0.000	111.885	4.012	3.291
38462	38845	384	22	1	57	0.000	0.000	212.737	2.000	4.476
38847	39230	384	23	1	58	0.000	0.000	168.412	0.000	1.000
39232	39615	384	24	1	59	0.000	0.000	124.130	2.000	1.000
39618	40001	384	25	1	60	0.000	1.000	99.494	1.000	0.000
40003	40386	384	26	1	61	0.000	0.000	13.477	0.000	0.000
40388	40771	384	27	1	62	0.000	0.000	9.352	0.000	0.000
40774	41157	384	28	1	63	0.000	0.000	0.000	0.000	0.000
