Object,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,eccentricity
1,93,8.548387096774194,50.29032258064516,14.996093807749318,8.244250933681013,0.8353227277950492
2,103,15.79611650485437,49.90291262135922,16.7570241019099,9.394163608271228,0.828079628278546
3,258,15.065891472868216,36.263565891472865,19.670088329980675,17.54373550409068,0.45223430446173957
4,163,20.061349693251532,71.63803680981596,19.444247127525113,11.223784763894137,0.8165822653831434
5,51,24.0,43.94117647058823,13.360278333913849,5.067829282464031,0.9252652888047498
6,267,27.220973782771537,27.89513108614232,20.951888789625816,17.21513146005746,0.56999152053909
7,138,29.71014492753623,49.01449275362319,15.49721032853032,13.261981764957692,0.5173634961736505
8,166,25.795180722891565,58.493975903614455,20.050011128180188,11.209933431615068,0.829101163833371
9,72,28.36111111111111,16.180555555555557,13.544431831023212,7.567937302643336,0.829336838189805
10,179,30.93854748603352,68.53631284916202,21.306465370306235,12.341868900452114,0.8151466515435806
11,32,34.53125,19.625,7.760493771054482,5.339392421373859,0.725689587316102
12,44,35.18181818181818,72.8409090909091,19.43196266326998,4.179107889940231,0.9766000445268113
13,356,43.49438202247191,78.38764044943821,28.523572494584315,22.296292534329936,0.6236803057121173
14,105,39.08571428571429,29.066666666666666,17.124679092604495,8.989122476160524,0.8511502752596456
15,198,46.525252525252526,40.53030303030303,19.82001974358161,14.76381403206784,0.6671828162759557
16,33,44.39393939393939,22.90909090909091,8.726827250866307,5.63672753789605,0.763415257411265
17,57,48.0,28.12280701754386,10.01796870623455,7.833512000672414,0.6233459937024178
18,72,55.47222222222222,42.06944444444444,12.931148095008568,7.120105530967695,0.8347582269127096
19,118,56.00847457627118,53.75423728813559,16.438769924087584,10.19068951429519,0.7846665933246347
20,34,59.3235294117647,46.1764705882353,9.759464883737651,5.487189313954334,0.826972177197387
21,398,61.246231155778894,75.96733668341709,36.32111877801271,15.565399006637369,0.9035182818196557
22,308,66.21753246753246,39.67857142857143,32.755391514935354,16.56780979206669,0.8626483986984312
23,84,66.60714285714286,58.845238095238095,11.625397237160007,10.042642790900448,0.503742721508005
24,72,72.38888888888889,70.59722222222223,14.47829148440571,6.618767864056281,0.8893890091029605
25,118,74.37288135593221,56.94915254237288,17.993465910997337,8.879781806395721,0.8697455950296901
26,89,79.1685393258427,48.056179775280896,12.360528800012293,10.293118871175464,0.5536627670014371
