Object,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,eccentricity
1,125,8.32,24.552,13.011949434171628,12.493178455563687,0.2795498233375497
2,39,11.23076923076923,16.923076923076923,9.280371741021735,5.791661195347984,0.7813633078884812
3,76,16.43421052631579,12.407894736842104,12.103848333571426,8.622325727277016,0.7018118664697478
4,63,17.841269841269842,22.984126984126984,11.159640519972216,8.11082158232928,0.6868496418424798
5,35,15.857142857142858,32.91428571428571,10.850676846022749,4.851084009251792,0.8944956619452377
6,25,18.64,28.28,8.298733060252161,4.015349249402573,0.8751504619972112
7,142,25.556338028169016,11.30281690140845,16.45300913766676,12.757995650636762,0.6314455733194281
8,16,23.6875,25.9375,5.326818938165629,3.7416573867739418,0.7117639563193815
9,115,24.191304347826087,35.869565217391305,16.30027745699403,9.370613792070136,0.8182415985172075
10,34,25.029411764705884,20.676470588235293,7.436713991350426,6.245534700565991,0.5428579819949315
11,5,29.2,33.4,3.098386676965933,1.7888543819998317,0.816496580927726
12,90,30.833333333333332,27.822222222222223,12.245342229221153,9.392155308744323,0.6416492645255685
13,54,30.59259259259259,19.296296296296298,10.89895608739796,6.91513313094465,0.7729420304616751
14,40,31.55,37.375,10.526073688464072,5.226066657154723,0.8680437273909343
15,43,36.2093023255814,34.69767441860465,10.018834771406672,5.537952746121705,0.8333443599652133
16,191,36.047120418848166,46.916230366492144,17.559931493869577,14.132634908495532,0.5935150436066177
17,82,39.4390243902439,19.073170731707318,13.598592072626436,9.053039941963387,0.7461894838290246
18,73,41.863013698630134,36.24657534246575,12.83176449920324,8.175567795832716,0.7707521266061198
19,75,44.88,23.333333333333332,16.123694093257633,6.46567689232441,0.916076002055798
20,80,46.975,45.6625,13.877479694438032,7.706040314614255,0.8316560865464772
21,80,46.225,4.275,15.119134847622803,7.334286704199515,0.874458889839879
22,63,50.888888888888886,8.80952380952381,13.277887094703749,7.1224439892085325,0.8439550131012975
