Start_push	End_push	Pushes_duration	X	Y	Z	161Dy(Dy161Di)	162Dy(Dy162Di)	163Dy(Dy163Di)	164Dy(Dy164Di)
1570	1953	384	0	0	0	23.938	1106.953	48.36	19.06
1955	2338	384	1	0	1	29.88	2101.637	92.384	21.383
2340	2723	384	2	0	2	40.218	2369.512	109.784	19.901
2726	3109	384	3	0	3	37.867	2192.491	83.401	28.084
3111	3494	384	4	0	4	19.382	1106.617	56.252	9.689
3496	3879	384	5	0	5	28.578	1273.393	60.304	11.289
3881	4264	384	6	0	6	29.833	1838.799	81.981	21.852
4267	4650	384	7	0	7	40.575	2170.428	93.895	18.828
4652	5035	384	8	0	8	14.562	1112.239	46.513	15.652
5037	5420	384	9	0	9	46.794	2009.7	95.231	20.395
5423	5806	384	10	0	10	30.755	2188.217	102.293	23.097
5808	6191	384	11	0	11	40.432	2019.498	95.329	22.856
6193	6576	384	12	0	12	29.333	1367.326	62.932	10.535
6579	6962	384	13	0	13	38.35	2687.438	130.161	19.044
6964	7347	384	14	0	14	30.316	1690.927	100.312	18.852
7349	7732	384	15	0	15	8.264	1005.07	40.497	8.175
7735	8118	384	16	0	16	36.641	1937.414	82.665	22.179
8120	8503	384	17	0	17	30.951	1655.802	78.574	19.493
8505	8888	384	18	0	18	23.327	1956.956	65.867	22.725
8890	9273	384	19	0	19	34.685	2546.343	111.272	19.538
9276	9659	384	20	0	20	33.556	2033.358	115.138	20.355
9661	10044	384	21	0	21	33.306	2634.149	147.463	28.999
10046	10429	384	22	0	22	26.317	1661.184	73.17	21.685
10432	10815	384	23	0	23	25.753	1886.414	78.935	16.032
10817	11200	384	24	0	24	30.199	1721.011	96.856	15.979
11202	11585	384	25	0	25	30.384	2195.318	106.041	29.231
11588	11971	384	26	0	26	97.193	5646.147	264.161	36.949
11973	12356	384	27	0	27	154.106	10901.353	541.672	83.273
12358	12741	384	28	0	28	224.985	14314.831	669.398	127.879
12744	13127	384	29	0	29	439.262	26767.561	1356.479	241.254
13129	13512	384	30	0	30	421.783	26637.551	1305.849	160.539
13514	13897	384	31	0	31	293.606	19580.645	939.642	156.881
13899	14282	384	32	0	32	186.965	13141.897	670.506	118.993
14285	14668	384	33	0	33	226.318	14841.321	693.462	118.137
14670	15053	384	34	0	34	235.757	17058.414	859.695	145.947
15055	15438	384	35	0	35	535.466	34777.414	1768.51	237.348
15441	15824	384	36	0	36	438.724	26093.523	1258.607	179.95
15826	16209	384	37	0	37	446.863	28474.211	1346.678	209.465
16211	16594	384	38	0	38	314.274	18148.994	873.701	117.079
16597	16980	384	39	0	39	227.308	15442.197	776.087	105.308
16982	17365	384	40	0	40	302.812	18496.031	974.315	103.728
17367	17750	384	41	0	41	198.932	13641.071	633.312	105.721
17753	18136	384	42	0	42	269.103	17775.381	828.908	121.874
18138	18521	384	43	0	43	509.609	25916.523	1682.814	202.024
18523	18906	384	44	0	44	425.81	26838.51	1270.818	167.818
18908	19291	384	45	0	45	390.692	26301.924	1281.645	172.295
19294	19677	384	46	0	46	379.034	24227.352	1235.419	179.666
19679	20062	384	47	0	47	499.882	28403.842	1491.589	195.171
20064	20447	384	48	0	48	374.884	22905.752	1103.133	178.789
20450	20833	384	49	0	49	189.438	13652.389	699.149	116.63
20835	21218	384	50	0	50	314.071	21113.232	1056.813	169.516
21220	21603	384	51	0	51	114.579	7888.514	372.778	83.73
21606	21989	384	52	0	52	76.273	6463.593	356.518	45.557
21991	22374	384	53	0	53	107.383	7846.535	406.877	75.401
22376	22759	384	54	0	54	94.303	5400.035	250.207	48.843
22762	23145	384	55	0	55	108.049	5975.167	267.62	67.654
23147	23530	384	56	0	56	119.378	9276.833	410.753	81.82
23532	23915	384	57	0	57	186.404	11400.256	543.838	104.806
23917	24300	384	58	0	58	123.097	7700.904	406.627	65.102
24303	24686	384	59	0	59	170.258	11752.275	611.232	74.906
24688	25071	384	60	0	60	202.864	11809.481	543.268	103.006
25073	25456	384	61	0	61	228.583	15188.622	718.63	125.744
25459	25842	384	62	0	62	146.434	11147.7	519.608	93.925
25844	26227	384	63	0	63	233.073	14786.644	694.179	125.614
26229	26612	384	64	0	64	241.977	14908.98	727.474	116.201
26615	26998	384	65	0	65	213.788	14081.266	686	120.725
27000	27383	384	66	0	66	127.967	9312.615	480.548	86.187
27385	27768	384	67	0	67	255.335	15535.573	745.001	134.322
27771	28154	384	68	0	68	200.436	13348.867	661.956	107.112
28156	28539	384	69	0	69	165.988	10764.08	581.012	90.824
28541	28924	384	70	0	70	383.801	24316.309	1176.064	173.198
28926	29309	384	71	0	71	283.172	16421.174	967.448	115.266
29312	29695	384	72	0	72	328.301	20633.559	1000.867	170.082
29697	30080	384	73	0	73	235.244	14839.23	759.277	122.529
30082	30465	384	74	0	74	293.459	19381.598	1001.215	132.822
30468	30851	384	75	0	75	342.4	20960.293	996.887	160.856
30853	31236	384	76	0	76	286.412	16563.594	782.204	137.286
31238	31621	384	77	0	77	237.191	16409.512	837.104	141.371
31624	32007	384	78	0	78	305.979	18612.779	867.975	147.547
32009	32392	384	79	0	79	286.953	17182.02	835.954	135.893
32394	32777	384	80	0	80	205.037	13605.037	656.806	114.769
32780	33163	384	81	0	81	268.101	17174.842	876.919	133.017
33165	33548	384	82	0	82	226.427	15432.035	705.559	97.921
33550	33933	384	83	0	83	375.166	23343.764	1120.322	163.135
