Start_push	End_push	Pushes_duration	X	Y	Z	161Dy(Dy161Di)	162Dy(Dy162Di)	163Dy(Dy163Di)	164Dy(Dy164Di)
1570	1953	384	0	0	0	1140.449	30.374	9.82	8.466
1955	2338	384	1	0	1	1192.119	36.666	5.024	6.091
2341	2724	384	2	0	2	1072.492	41.223	7.702	8.255
2726	3109	384	3	0	3	1365.843	59.154	17.342	10.302
3111	3494	384	4	0	4	1422.316	54.236	16.669	11.786
3497	3880	384	5	0	5	1411.041	29.022	9.82	11.353
3882	4265	384	6	0	6	1356.291	42.774	18.003	10.044
4267	4650	384	7	0	7	1489.757	45.532	19.934	12.099
4653	5036	384	8	0	8	1937.968	42.445	29.084	11.593
5038	5421	384	9	0	9	1245.874	46.63	12.865	2
5423	5806	384	10	0	10	1357.652	57.206	9.502	6.08
5809	6192	384	11	0	11	1996.262	67.952	19.375	12.859
6194	6577	384	12	0	12	1342.607	35.021	18.342	16.281
6579	6962	384	13	0	13	1344.669	35.627	10.714	4.226
6964	7347	384	14	0	14	1634.378	38.324	20.17	10.778
7350	7733	384	15	0	15	1153.522	42.06	6.669	10.04
7735	8118	384	16	0	16	1030.403	24.058	8.073	5
8120	8503	384	17	0	17	1414.955	46.151	22.232	11.138
8506	8889	384	18	0	18	1697.201	42.868	22.04	9.891
8891	9274	384	19	0	19	1482.106	49.265	13.118	15.281
9276	9659	384	20	0	20	1433.778	42.65	16.391	7.371
9662	10045	384	21	0	21	1004.257	26.123	7.992	6.455
10047	10430	384	22	0	22	1604.177	53.441	17.375	7.073
10432	10815	384	23	0	23	1537.177	57.05	9.387	6.52
10817	11200	384	24	0	24	1586.682	37.308	21.403	10.48
11203	11586	384	25	0	25	962.281	30.627	9.147	5.913
11588	11971	384	26	0	26	1355.349	27.566	16.228	14.051
11973	12356	384	27	0	27	1628.124	50.832	23.191	12.058
12359	12742	384	28	0	28	1801.093	59.17	13.922	14.491
12744	13127	384	29	0	29	1235.006	31.279	13.649	7.815
13129	13512	384	30	0	30	1287.695	35.376	13.469	6.891
13515	13898	384	31	0	31	1255.347	29.598	11.159	12.269
13900	14283	384	32	0	32	1602.932	43.334	16.469	4.146
