Object,area,centroid-0,centroid-1,axis_major_length,axis_minor_length,eccentricity
1,11,4.0,34.36363636363637,4.967994363003793,2.848231107005645,0.8193342786072867
2,7,8.0,6.0,3.7032803990902057,2.138089935299395,0.816496580927726
3,13,11.615384615384615,39.46153846153846,4.907725735659753,3.279400065550629,0.7439711284387783
4,14,14.357142857142858,20.214285714285715,4.742873420478221,3.6860255520522984,0.629288982059086
5,4,17.5,33.5,2.0,2.0,0.0
6,18,18.88888888888889,41.44444444444444,5.132946212902184,4.480247343827444,0.4880042003142553
7,18,21.055555555555557,36.611111111111114,6.539325004089144,3.665345734728451,0.828148827822692
8,10,24.5,42.0,4.381780460041329,2.6832815729997477,0.7905694150420949
9,13,26.384615384615383,31.384615384615383,4.318667337728677,3.6794648440311994,0.523556754446835
10,4,31.5,53.0,3.23606797749979,1.2360679774997898,0.9241763718304448
11,14,30.714285714285715,37.5,4.20883424647321,4.120630029101703,0.2036532699906393
12,23,33.78260869565217,42.91304347826087,5.733826014124253,5.0375140067593245,0.4776307722564946
13,13,33.84615384615385,48.61538461538461,5.376796813410203,2.993305616289287,0.830708276629804
14,10,35.1,54.8,4.7504310473449705,2.6520567234546397,0.8296545749843498
15,22,40.5,52.5,5.78399044384977,4.898979485566356,0.5316095330711949
16,5,44.8,48.4,3.098386676965933,1.7888543819998317,0.816496580927726
17,11,46.90909090909091,53.63636363636363,4.346129984141888,3.067356324605906,0.7084437526351622
