Object,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,eccentricity
1,180,6.361111111111111,14.205555555555556,18.470450031922027,12.743277349001712,0.7238781675065956
2,191,5.675392670157068,56.27225130890052,21.043601180655628,14.016882988743975,0.7458734706625134
3,87,11.494252873563218,26.17241379310345,14.871409927947424,7.642708357526635,0.8578383833893857
4,188,13.76063829787234,38.29255319148936,20.14354902694891,13.14866915329968,0.7575747765960211
5,229,18.91703056768559,11.558951965065502,18.96163054783513,17.77474258083928,0.3482389316061158
6,242,19.776859504132233,51.21487603305785,20.693783540322627,15.57229499298446,0.6585799424036017
7,105,19.476190476190474,27.514285714285716,12.95033518821011,11.244906023774883,0.4960218543593225
8,180,29.65,19.316666666666666,17.222567268867845,15.846375645988156,0.3916983313530082
9,202,30.38118811881188,33.554455445544555,18.893114836312208,13.859431299170046,0.6796133845250242
10,185,32.29189189189189,53.962162162162166,16.79176119678743,14.337319929532876,0.5205509260933523
11,132,36.90909090909091,43.371212121212125,17.392169220124842,10.434194414883986,0.80004773809775
12,194,43.18041237113402,32.01030927835052,22.996753575364608,11.234521591144043,0.8725491054423501
