Object,Neighbor,Distance
1,2,
1,6,
1,7,
2,1,
2,3,
2,6,
3,2,
3,5,
4,5,
4,8,
4,9,
5,3,
5,4,
5,8,
5,13,
6,1,
6,2,
6,7,
6,10,
6,11,
7,1,
7,6,
7,11,
8,4,
8,5,
8,9,
8,13,
8,14,
9,4,
9,8,
9,14,
10,6,
10,11,
10,12,
10,16,
11,6,
11,7,
11,10,
11,16,
11,17,
12,10,
12,13,
12,16,
12,21,
13,5,
13,8,
13,12,
13,14,
13,15,
13,18,
13,19,
13,21,
14,8,
14,9,
14,13,
14,15,
15,13,
15,14,
15,19,
16,10,
16,11,
16,12,
16,17,
16,20,
16,21,
16,23,
16,24,
17,11,
17,16,
17,20,
17,24,
17,25,
18,13,
18,19,
18,21,
18,22,
18,28,
19,13,
19,15,
19,18,
19,28,
20,16,
20,17,
20,24,
21,12,
21,13,
21,16,
21,18,
21,22,
21,23,
21,26,
22,18,
22,21,
22,26,
22,28,
23,16,
23,21,
23,24,
23,26,
23,27,
24,16,
24,17,
24,20,
24,23,
24,25,
24,27,
24,29,
25,17,
25,24,
26,21,
26,22,
26,23,
26,27,
26,28,
27,23,
27,24,
27,26,
27,29,
27,30,
28,18,
28,19,
28,22,
28,26,
29,24,
29,27,
29,30,
30,27,
30,29,
