Object,Neighbor,Distance
1,2,
1,3,
1,4,
2,1,
2,3,
2,5,
3,1,
3,2,
3,4,
3,5,
3,7,
4,1,
4,3,
4,6,
4,7,
4,8,
5,2,
5,3,
5,7,
5,9,
5,11,
6,4,
6,8,
6,10,
7,3,
7,4,
7,5,
7,8,
7,11,
7,13,
8,4,
8,6,
8,7,
8,10,
8,13,
9,5,
9,11,
9,14,
9,15,
10,6,
10,8,
10,12,
10,13,
11,5,
11,7,
11,9,
11,13,
11,14,
12,10,
12,13,
13,7,
13,8,
13,10,
13,11,
13,12,
13,17,
14,9,
14,11,
14,15,
14,16,
14,20,
15,9,
15,14,
15,16,
15,18,
16,14,
16,15,
16,18,
16,20,
17,13,
17,19,
18,15,
18,16,
18,20,
19,17,
19,20,
20,14,
20,16,
20,18,
20,19,
