Object,Neighbor,Distance
1,2,
1,4,
1,5,
2,1,
2,3,
2,5,
2,7,
3,2,
3,6,
3,7,
3,9,
4,1,
4,5,
4,10,
4,11,
5,1,
5,2,
5,4,
5,7,
5,11,
6,3,
6,8,
6,9,
6,12,
7,2,
7,3,
7,5,
7,9,
7,11,
7,13,
7,14,
8,6,
8,12,
9,3,
9,6,
9,7,
9,12,
9,14,
10,4,
10,11,
10,15,
10,20,
11,4,
11,5,
11,7,
11,10,
11,13,
11,15,
12,6,
12,8,
12,9,
12,14,
12,16,
12,18,
13,7,
13,11,
13,14,
13,15,
14,7,
14,9,
14,12,
14,13,
14,15,
14,16,
14,19,
14,21,
15,10,
15,11,
15,13,
15,14,
15,17,
15,20,
15,21,
16,12,
16,14,
16,18,
16,19,
16,22,
17,15,
17,20,
17,21,
17,24,
18,12,
18,16,
18,22,
18,23,
19,14,
19,16,
19,21,
19,22,
19,25,
20,10,
20,15,
20,17,
20,24,
21,14,
21,15,
21,17,
21,19,
21,24,
21,25,
22,16,
22,18,
22,19,
22,23,
22,25,
22,26,
23,18,
23,22,
23,26,
24,17,
24,20,
24,21,
24,25,
25,19,
25,21,
25,22,
25,24,
26,22,
26,23,
