Object,Neighbor,Distance
1,2,
1,4,
1,6,
2,1,
2,3,
2,4,
2,5,
3,2,
3,7,
3,9,
4,1,
4,2,
4,5,
4,6,
4,8,
5,2,
5,4,
5,7,
6,1,
6,4,
6,8,
6,10,
7,3,
7,5,
7,9,
7,14,
8,4,
8,6,
8,10,
8,13,
9,3,
9,7,
9,11,
9,14,
10,6,
10,8,
10,12,
10,13,
11,9,
11,14,
11,16,
11,17,
12,10,
12,13,
12,21,
13,8,
13,10,
13,12,
13,15,
13,21,
14,7,
14,9,
14,11,
14,15,
14,17,
14,19,
15,13,
15,14,
15,19,
15,20,
15,21,
16,11,
16,17,
16,18,
16,22,
16,23,
17,11,
17,14,
17,16,
17,19,
17,22,
18,16,
18,23,
18,24,
18,26,
19,14,
19,15,
19,17,
19,20,
19,22,
19,29,
20,15,
20,19,
20,21,
20,25,
21,12,
21,13,
21,15,
21,20,
21,25,
22,16,
22,17,
22,19,
22,23,
22,28,
22,29,
23,16,
23,18,
23,22,
23,26,
23,28,
23,30,
24,18,
24,26,
24,27,
25,20,
25,21,
26,18,
26,23,
26,24,
26,27,
26,30,
27,24,
27,26,
27,30,
27,33,
28,22,
28,23,
28,29,
28,30,
28,31,
28,34,
29,19,
29,22,
29,28,
29,31,
29,36,
30,23,
30,26,
30,27,
30,28,
30,32,
30,33,
31,28,
31,29,
31,34,
31,36,
32,30,
32,33,
32,35,
32,37,
33,27,
33,30,
33,32,
33,37,
34,28,
34,31,
34,35,
34,36,
34,38,
34,40,
35,32,
35,34,
35,37,
35,39,
35,40,
36,29,
36,31,
36,34,
36,38,
37,32,
37,33,
37,35,
37,39,
38,34,
38,36,
38,40,
39,35,
39,37,
39,40,
40,34,
40,35,
40,38,
40,39,
