Object,Neighbor,Distance
1,2,
1,3,
1,4,
2,1,
2,4,
2,5,
2,7,
3,1,
3,4,
3,6,
3,8,
4,1,
4,2,
4,3,
4,7,
4,8,
4,9,
5,2,
5,7,
5,12,
6,3,
6,8,
6,10,
6,13,
7,2,
7,4,
7,5,
7,9,
7,12,
8,3,
8,4,
8,6,
8,9,
8,13,
9,4,
9,7,
9,8,
9,13,
9,15,
10,6,
10,11,
10,13,
10,16,
10,19,
11,10,
11,14,
11,16,
11,17,
12,5,
12,7,
12,15,
13,6,
13,8,
13,9,
13,10,
13,15,
13,19,
13,21,
14,11,
14,17,
14,18,
15,9,
15,12,
15,13,
15,21,
16,10,
16,11,
16,17,
16,19,
17,11,
17,14,
17,16,
17,18,
17,19,
17,20,
18,14,
18,17,
18,20,
18,23,
19,10,
19,13,
19,16,
19,17,
19,20,
19,22,
20,17,
20,18,
20,19,
20,22,
20,23,
20,24,
21,13,
21,15,
22,19,
22,20,
22,24,
23,18,
23,20,
23,24,
24,20,
24,22,
24,23,
25,26,
26,25,
