Object,Neighbor,Distance
1,4,
2,6,
2,8,
3,5,
3,7,
3,9,
4,1,
4,10,
5,3,
5,6,
5,9,
5,11,
6,2,
6,5,
6,8,
6,11,
7,3,
7,9,
7,10,
8,2,
8,6,
8,11,
8,13,
9,3,
9,5,
9,7,
9,11,
9,12,
10,4,
10,7,
10,14,
10,16,
10,18,
11,5,
11,6,
11,8,
11,9,
11,12,
11,13,
11,15,
12,9,
12,11,
12,15,
12,17,
13,8,
13,11,
13,15,
14,10,
14,16,
15,11,
15,12,
15,13,
15,17,
15,20,
16,10,
16,14,
16,17,
16,18,
16,19,
17,12,
17,15,
17,16,
17,19,
17,20,
17,21,
18,10,
18,16,
18,19,
19,16,
19,17,
19,18,
19,21,
20,15,
20,17,
20,21,
21,17,
21,19,
21,20,
