Object,Neighbor,Distance
1,3,
1,4,
1,5,
2,3,
2,6,
2,7,
3,1,
3,2,
3,5,
3,7,
4,1,
4,5,
4,8,
4,9,
5,1,
5,3,
5,4,
5,7,
5,8,
5,12,
5,13,
6,2,
6,7,
6,15,
6,17,
6,18,
7,2,
7,3,
7,5,
7,6,
7,12,
7,15,
8,4,
8,5,
8,9,
8,13,
9,4,
9,8,
9,10,
9,13,
10,9,
10,11,
10,13,
10,16,
10,19,
11,10,
12,5,
12,7,
12,13,
12,14,
12,15,
13,5,
13,8,
13,9,
13,10,
13,12,
13,14,
13,19,
13,22,
14,12,
14,13,
14,15,
14,20,
14,22,
15,6,
15,7,
15,12,
15,14,
15,17,
15,20,
15,21,
16,10,
16,19,
16,24,
17,6,
17,15,
17,18,
17,21,
17,23,
17,25,
18,6,
18,17,
18,23,
19,10,
19,13,
19,16,
19,22,
19,24,
20,14,
20,15,
20,21,
20,22,
20,26,
21,15,
21,17,
21,20,
21,25,
21,26,
22,13,
22,14,
22,19,
22,20,
22,24,
23,17,
23,18,
23,25,
23,27,
24,16,
24,19,
24,22,
24,28,
25,17,
25,21,
25,23,
25,26,
25,27,
26,20,
26,21,
26,25,
26,27,
26,29,
26,34,
27,23,
27,25,
27,26,
27,29,
27,30,
27,33,
27,35,
28,24,
28,31,
28,32,
29,26,
29,27,
29,33,
29,34,
30,27,
30,35,
30,37,
31,28,
31,32,
31,39,
31,41,
32,28,
32,31,
32,39,
32,42,
33,27,
33,29,
33,34,
33,35,
33,38,
34,26,
34,29,
34,33,
34,36,
34,38,
34,40,
34,43,
35,27,
35,30,
35,33,
35,37,
35,38,
35,44,
36,34,
36,41,
36,43,
36,45,
36,48,
37,30,
37,35,
38,33,
38,34,
38,35,
38,40,
38,44,
39,31,
39,32,
39,41,
39,42,
39,46,
40,34,
40,38,
40,43,
40,44,
40,47,
41,31,
41,36,
41,39,
41,45,
41,46,
41,49,
42,32,
42,39,
42,46,
43,34,
43,36,
43,40,
43,47,
43,48,
43,50,
44,35,
44,38,
44,40,
44,47,
44,51,
45,36,
45,41,
45,48,
45,49,
46,39,
46,41,
46,42,
46,49,
47,40,
47,43,
47,44,
47,50,
47,51,
48,36,
48,43,
48,45,
48,49,
48,50,
48,52,
48,53,
48,55,
49,41,
49,45,
49,46,
49,48,
49,52,
50,43,
50,47,
50,48,
50,51,
50,53,
51,44,
51,47,
51,50,
51,53,
52,48,
52,49,
52,55,
53,48,
53,50,
53,51,
53,54,
53,55,
54,53,
54,55,
55,48,
55,52,
55,53,
55,54,
