Object,Neighbor,Distance
1,3,
1,4,
2,3,
2,7,
3,1,
3,2,
3,4,
3,7,
4,1,
4,3,
4,6,
4,7,
4,10,
5,8,
5,9,
5,14,
6,4,
6,10,
6,11,
7,2,
7,3,
7,4,
7,10,
7,12,
8,5,
8,13,
8,16,
9,5,
9,14,
9,17,
10,4,
10,6,
10,7,
10,11,
10,12,
10,15,
11,6,
11,10,
12,7,
12,10,
12,15,
12,18,
13,8,
13,16,
13,19,
14,5,
14,9,
14,16,
14,17,
14,21,
15,10,
15,12,
15,18,
16,8,
16,13,
16,14,
16,19,
16,20,
16,21,
17,9,
17,14,
17,21,
17,22,
18,12,
18,15,
19,13,
19,16,
19,20,
20,16,
20,19,
20,21,
21,14,
21,16,
21,17,
21,20,
21,22,
22,17,
22,21,
