Object,Neighbor,Distance
1,2,
1,3,
1,4,
2,1,
2,4,
2,6,
2,8,
3,1,
3,4,
4,1,
4,2,
4,3,
4,8,
4,10,
5,6,
5,9,
5,17,
6,2,
6,5,
6,8,
6,18,
7,11,
7,12,
7,14,
8,2,
8,4,
8,6,
8,10,
8,18,
9,5,
9,12,
9,13,
9,17,
9,21,
10,4,
10,8,
10,18,
11,7,
11,14,
11,16,
11,20,
12,7,
12,9,
12,13,
12,14,
12,15,
13,9,
13,12,
13,15,
13,21,
14,7,
14,11,
14,12,
14,15,
14,20,
14,24,
15,12,
15,13,
15,14,
15,21,
15,24,
16,11,
16,20,
16,23,
17,5,
17,9,
17,19,
17,21,
17,22,
17,25,
18,6,
18,8,
18,10,
18,19,
19,17,
19,18,
19,22,
20,11,
20,14,
20,16,
20,23,
20,24,
20,27,
21,9,
21,13,
21,15,
21,17,
21,24,
21,25,
21,26,
22,17,
22,19,
22,25,
23,16,
23,20,
23,27,
23,30,
24,14,
24,15,
24,20,
24,21,
24,26,
24,27,
24,28,
25,17,
25,21,
25,22,
25,26,
25,29,
26,21,
26,24,
26,25,
26,28,
26,29,
27,20,
27,23,
27,24,
27,28,
27,30,
27,32,
28,24,
28,26,
28,27,
28,29,
28,31,
28,32,
29,25,
29,26,
29,28,
29,31,
30,23,
30,27,
31,28,
31,29,
31,32,
32,27,
32,28,
32,31,
33,34,
34,33,
